run 1,,,,,,,,,
"graph [30,0.1]",,,,,,,,,
"graph [30,0.5]",,,,,,,,,
backtraing parameter combination,number of teams,elapsed time,assignment times,unassignment times,result,correctness,,,
"first_unassigned_variable, unordered_domain_values, no_inference",8,0.001575947,30,0,"{0: 0, 1: 0, 2: 1, 3: 2, 4: 1, 5: 2, 6: 0, 7: 0, 8: 0, 9: 2, 10: 3, 11: 1, 12: 4, 13: 3, 14: 3, 15: 4, 16: 5, 17: 6, 18: 5, 19: 4, 20: 2, 21: 6, 22: 2, 23: 7, 24: 1, 25: 7, 26: 3, 27: 2, 28: 3, 29: 5}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, forward_checking",8,0.000834703,30,0,"{0: 0, 1: 0, 2: 1, 3: 2, 4: 1, 5: 2, 6: 0, 7: 0, 8: 0, 9: 2, 10: 3, 11: 1, 12: 4, 13: 3, 14: 3, 15: 4, 16: 5, 17: 6, 18: 5, 19: 4, 20: 2, 21: 6, 22: 2, 23: 7, 24: 1, 25: 7, 26: 3, 27: 2, 28: 3, 29: 5}",TRUE,,,
"first_unassigned_variable, unordered_domain_values, mac",8,0.002297163,30,0,"{0: 0, 1: 0, 2: 1, 3: 2, 4: 1, 5: 2, 6: 0, 7: 0, 8: 0, 9: 2, 10: 3, 11: 1, 12: 4, 13: 3, 14: 3, 15: 4, 16: 5, 17: 6, 18: 5, 19: 4, 20: 2, 21: 6, 22: 2, 23: 7, 24: 1, 25: 7, 26: 3, 27: 2, 28: 3, 29: 5}",TRUE,,,
"first_unassigned_variable, lcv, no_inference",8,0.00080514,30,0,"{0: 0, 1: 0, 2: 1, 3: 2, 4: 1, 5: 2, 6: 0, 7: 0, 8: 0, 9: 2, 10: 3, 11: 1, 12: 4, 13: 3, 14: 3, 15: 4, 16: 5, 17: 6, 18: 5, 19: 4, 20: 2, 21: 6, 22: 2, 23: 7, 24: 1, 25: 7, 26: 3, 27: 2, 28: 3, 29: 5}",TRUE,,,
"first_unassigned_variable, lcv, forward_checking",8,0.000721216,30,0,"{0: 0, 1: 0, 2: 1, 3: 2, 4: 1, 5: 2, 6: 0, 7: 0, 8: 0, 9: 2, 10: 3, 11: 1, 12: 4, 13: 3, 14: 3, 15: 4, 16: 5, 17: 6, 18: 5, 19: 4, 20: 2, 21: 6, 22: 2, 23: 7, 24: 1, 25: 7, 26: 3, 27: 2, 28: 3, 29: 5}",TRUE,,,
"first_unassigned_variable, lcv, mac",8,0.001250029,30,0,"{0: 0, 1: 0, 2: 1, 3: 2, 4: 1, 5: 2, 6: 0, 7: 0, 8: 0, 9: 2, 10: 3, 11: 1, 12: 4, 13: 3, 14: 3, 15: 4, 16: 5, 17: 6, 18: 5, 19: 4, 20: 2, 21: 6, 22: 2, 23: 7, 24: 1, 25: 7, 26: 3, 27: 2, 28: 3, 29: 5}",TRUE,,,
"mrv, unordered_domain_values, no_inference",8,0.001420021,30,0,"{11: 1, 29: 5, 5: 2, 23: 7, 21: 6, 28: 3, 1: 0, 12: 4, 20: 2, 0: 0, 18: 5, 15: 4, 22: 2, 10: 3, 24: 1, 26: 3, 27: 2, 3: 2, 2: 1, 19: 4, 16: 5, 14: 3, 17: 6, 25: 7, 7: 0, 8: 0, 9: 2, 4: 1, 6: 0, 13: 3}",TRUE,,,
"mrv, unordered_domain_values, forward_checking",8,0.00137496,30,0,"{29: 5, 9: 2, 17: 6, 21: 6, 7: 0, 10: 3, 25: 7, 16: 5, 1: 0, 18: 5, 0: 0, 22: 2, 4: 1, 6: 0, 27: 2, 28: 3, 20: 2, 23: 7, 12: 4, 15: 4, 8: 0, 11: 1, 14: 3, 2: 1, 24: 1, 3: 2, 5: 2, 26: 3, 19: 4, 13: 3}",TRUE,,,
"mrv, unordered_domain_values, mac",8,0.001557112,30,0,"{1: 0, 24: 1, 29: 5, 23: 7, 26: 3, 12: 4, 4: 1, 25: 7, 0: 0, 8: 0, 3: 2, 18: 5, 15: 4, 22: 2, 13: 3, 5: 2, 7: 0, 16: 5, 19: 4, 2: 1, 20: 2, 14: 3, 28: 3, 9: 2, 11: 1, 27: 2, 6: 0, 10: 3, 21: 6, 17: 6}",TRUE,,,
